"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Waters, Drew","671221","103","8.1",35.9,"110.2","87.7","98.8","89.6","86.3","408","145","408","34",33,"5",4.9,3.4
"Neto, Zach","687263","103","19.5",51.5,"111.3","93.1","103.2","97.7","86.2","440","202","404","51",49.5,"17",16.5,10.6
"Giménez, Andrés","665926","103","7",29.1,"105.9","87.9","98","92.6","83","407","157","385","32",31.1,"4",3.9,2.8
"Sanoja, Javier","691594","102","12.2",34.3,"106.1","88.9","97.9","91.4","88.1","376","159","367","34",33.3,"2",2,1.5
"Walker, Jordan","691023","102","11.3",30.4,"116.5","92.4","103.7","94","93.3","422","157","412","48",47.1,"8",7.8,4.7
"Ramírez, Agustín","682663","102","10.1",33.3,"114.7","91.7","104.1","97.5","86.9","424","166","402","49",48,"10",9.8,7.3
"Acuña, Luisangel","682668","102","3.5",30.4,"110.3","88","99.7","89.1","88.7","389","124",,"36",35.3,"1",1,0.7
"Bader, Harrison","664056","102","10.2",30.4,"110.7","86.7","100.1","94","82.3","417","148","390","43",42.2,"9",8.8,5.9
"Pagés, Pedro","686780","101","14.5",30.7,"108.7","88.6","99.6","91.9","85.6","399","166","385","37",36.6,"7",6.9,5
"Walls, Taylor","670764","101","15.3",26.7,"102.8","86.4","95.4","89","84.8","386","152","386","24",23.8,"2",2,1.4
"Williamson, Ben","810938","101","3.7",21.8,"110.4","87.6","100.1","88.6","87.6","398","130","398","43",42.6,"5",5,3.5
"Smith, Cam","701358","101","7.2",37.6,"112.8","88.1","101.9","90.7","86.8","412","147","378","43",42.6,"9",8.9,5.4
"Sánchez, Jesús","660821","100","6.7",26,"113","91.2","102.6","97.3","88.3","417","142","401","43",43,"10",10,6.5
"Urías, Ramón","602104","100","10.8",31,"109.4","88.6","98.9","94.7","84.4","397","152","376","39",39,"8",8,5.7
"Kjerstad, Heston","677008","98","12.1",35.7,"106.8","89","99.9","94.6","85","409","162","401","42",42.9,"9",9.2,6
"White, Eli","642201","96","8.2",33.3,"108.5","87.9","100.2","92.3","84.7","434","146","426","37",38.5,"8",8.3,5.9
"Baldwin, Brooks","681460","96","10",29.2,"110","89.8","99.8","93.2","87.8","407","133","396","37",38.5,"6",6.3,4.2
"Pham, Tommy","502054","95","4.9",30.5,"110.7","88.8","99.8","93","87.3","386","124",,"34",35.8,"2",2.1,1.3
"Young, Jacob","696285","95","-2.7",23.2,"106.8","86.9","97.7","88.1","86.7","350","93",,"30",31.6,"1",1.1,0.8
"Bailey, Patrick","672275","94","20.3",37.2,"107.8","87.8","98.3","90.8","83.8","403","197","403","32",34,"7",7.4,4.4
"Pederson, Joc","592626","94","15.8",24.5,"111.7","90.5","100.9","95.5","87.9","409","156","405","41",43.6,"8",8.5,5.5
"Merrill, Jackson","701538","94","9.1",42.6,"110.9","88.6","100.2","94.3","83.4","417","167","398","36",38.3,"14",14.9,11
"Kelly, Carson","608348","94","16",33,"109.7","90.5","100.8","95.4","86.1","418","179","387","42",44.7,"12",12.8,8.9
"Marte, Ketel","606466","93","10.3",26.9,"115.5","91.7","103.3","96.4","90.5","443","144","408","47",50.5,"13",14,10
"Jones, Nolan","666134","93","13.1",36.6,"110.3","92.8","102.3","95.8","91.5","422","167","416","45",48.4,"9",9.7,6
"Call, Alex","669743","93","11.9",32.3,"109.9","88.3","97","90.5","87.3","380","159",,"26",28,"3",3.2,2.3
"Smith, Pavin","656976","93","8.8",35.5,"109.9","90.2","100","93","87.6","429","154","409","42",45.2,"12",12.9,7.1
"Díaz, Elias","553869","93","17.4",26.9,"111.4","87.1","99.1","92.3","87","380","155","369","35",37.6,"5",5.4,3.8
"Iglesias, Jose","578428","92","-3.2",20.7,"109.5","82.4","94.4","86.4","81.4","351","87",,"21",22.8,"0",0,0
"Naylor, Bo","666310","92","25.2",34.8,"108.8","90.5","99.6","94.6","85.3","425","192","402","33",35.9,"11",12,7.2
"Tovar, Ezequiel","678662","92","12.6",52.2,"111.1","90.7","100.4","94.2","85.3","425","186","422","39",42.4,"7",7.6,5.6
"Moore, Dylan","664238","91","19.7",37.4,"108.6","85.8","98.5","90.6","82.4","429","175","393","33",36.3,"10",11,7
"Norby, Connor","681393","91","14.9",42.9,"108.2","88.2","99.6","96.1","79.2","408","186","390","38",41.8,"9",9.9,6.5
"Quero, Edgar","700337","90","4.2",31.1,"106.9","90.7","99.9","94.2","89.1","374","141",,"41",45.6,"0",0,0
"Castro, Willi","650489","89","15.5",36,"109.9","85.6","98.3","91.4","79.8","410","173","393","31",34.8,"7",7.9,5.1
"Lukes, Nathan","664770","89","11.1",31.5,"104.8","87.6","97.7","88.7","88.7","391","147","378","30",33.7,"6",6.7,5
"Fitzgerald, Tyler","666149","89","15.7",32.6,"107","83","96.2","86.9","79.6","381","153","375","25",28.1,"4",4.5,3.1
"Schneemann, Daniel","682177","89","6.6",33.7,"111.2","87.7","99.9","96.6","82.4","401","149","384","36",40.4,"12",13.5,8.6
"Tellez, Rowdy","642133","89","17.2",37.1,"113.1","90.5","102.1","94.5","87.1","430","185","394","40",44.9,"15",16.9,11.2
"Hays, Austin","669720","89","15.8",34.8,"109.2","89.7","100.7","94.5","84.5","429","168","402","39",43.8,"12",13.5,9.2
"Caballero, José","676609","88","17.2",43.2,"114.4","85.5","96.9","89.4","80.6","383","183","355","24",27.3,"4",4.5,2.7
"Tena, José","677588","87","-1.2",31,"108.5","89.3","99.3","92.8","87","381","122",,"33",37.9,"5",5.7,4.1
"Benintendi, Andrew","643217","86","23.2",38.4,"108.5","88.7","98.4","94.1","79.5","401","203","379","31",36,"13",15.1,10.3
"Barger, Addison","680718","86","13.3",38.4,"116.5","95.2","105.5","99.1","94","414","175","394","49",57,"11",12.8,8.9
"Alvarez, Yordan","670541","84","20.1",40.5,"113.6","94","102.6","97.1","92.9","436","204","424","39",46.4,"10",11.9,8.3
"Jansen, Danny","643376","84","22.5",34.5,"106.7","87.2","97.8","93.6","83.1","401","189","362","32",38.1,"4",4.8,2.9
"Cabrera, Oswaldo","665828","84","8.8",29.8,"107.5","89.1","97.7","90.9","88.9","382","132","382","29",34.5,"0",0,0
"Hernández, Enrique","571771","84","14.8",28.6,"109.8","91.6","101","95.2","88.2","438","162","395","36",42.9,"10",11.9,8
"Baty, Brett","683146","79","7.9",36.7,"113.9","90.2","102.7","95.6","86.6","425","153","389","36",45.6,"11",13.9,9.2
"Murphy, Sean","669221","75","9.1",36,"112.5","90.8","103.6","96.2","83.8","429","178","398","35",46.7,"11",14.7,8.1
"Trout, Mike","545361","75","20",44,"115.4","90.8","102.5","94.7","86.2","484","215","398","35",46.7,"12",16,9.5
"Morel, Christopher","666624","75","20",32,"113.4","90","101.5","93.6","89.1","403","185","392","32",42.7,"12",16,8.6
"Cronenworth, Jake","630105","73","15",21.9,"109.1","90.3","100.6","94.5","87.8","435","159","398","33",45.2,"4",5.5,3.4
"Mervis, Matt","670223","71","22.3",26.8,"108.2","88.3","99.9","93.4","83.7","421","164","389","27",38,"6",8.5,4.5
"Chisholm Jr., Jazz","665862","67","18.2",29.9,"109.5","87.9","99.5","91.7","85.4","442","185","382","26",38.8,"10",14.9,8
"Paris, Kyren","677347","67","17.8",34.3,"108.7","88.9","100.9","94.3","80.1","434","201","396","32",47.8,"11",16.4,7.9
